,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
52,Jacob Evans,SCW,4,21.4,11.0,4.3,8.3,0.515,1.5,4.0,0.375,0.8,0.8,1.0,1.0,3.5,4.5,2.3,0.3,0.0,0.5,1.0,0.6409999999999999,0.606,189.0,5.7,15.9,11.4,17.0,5.5,0.6,0.0,19.6,4.9,1.3,130.1,110.1,20.0,38.6,21.1,0.16699999999999998,4.5,0.5,0.1,3,1,0.75,0.3,0.1,0.4
53,Yogi Ferrell,SLC,14,28.3,15.4,5.6,12.4,0.44799999999999995,2.2,5.7,0.38799999999999996,1.2,1.2,1.0,0.4,2.3,2.7,4.0,1.3,0.1,2.2,1.9,0.595,0.537,183.6,1.5,9.4,5.2,25.4,14.6,2.3,0.5,24.4,1.7,1.2,105.8,112.4,-6.6,141.1,17.5,0.264,1.8,0.6,0.1,4,10,0.28600000000000003,0.2,0.3,0.6
54,Malik Fitts,ACC,14,26.3,11.1,4.2,9.0,0.46799999999999997,1.1,3.3,0.348,1.1,1.1,0.938,0.5,3.5,4.0,1.4,0.4,0.2,1.4,2.4,0.583,0.532,175.4,2.0,14.5,8.1,8.4,12.5,0.7,0.7,18.0,-1.6,1.2,106.6,115.0,-8.4,90.8,12.1,0.145,1.1,0.3,0.1,5,9,0.35700000000000004,0.2,0.2,0.4
55,Malachi Flynn,RAP,6,34.4,20.8,7.7,17.3,0.442,3.0,7.3,0.409,1.8,2.0,0.917,0.8,3.7,4.5,5.5,1.5,0.3,2.2,3.0,0.5720000000000001,0.529,176.8,2.6,10.5,6.7,23.1,10.6,2.1,0.9,24.7,4.3,1.2,116.6,117.8,-1.2,86.0,19.5,0.3,2.5,0.7,0.1,4,2,0.667,0.4,0.0,0.5
56,Jordan Ford,ACC,15,27.2,13.9,5.4,11.5,0.47100000000000003,1.9,4.5,0.433,0.8,0.9,0.9229999999999999,0.7,1.7,2.4,3.5,0.7,0.0,0.9,1.6,0.588,0.555,182.7,2.5,6.9,4.6,21.5,7.3,1.3,0.0,20.3,5.4,1.2,121.1,115.1,5.9,142.6,18.1,0.231,3.8,0.8,0.1,5,10,0.33299999999999996,0.9,0.2,1.1
57,Robert Franks,LAK,14,24.5,12.1,4.3,8.4,0.508,1.5,4.2,0.35600000000000004,1.3,1.6,0.7829999999999999,1.1,5.6,6.7,1.5,0.2,0.5,1.8,2.2,0.66,0.597,164.7,4.9,22.6,14.0,9.5,16.3,0.4,1.8,19.6,-3.3,1.4,109.0,105.9,3.1,136.9,16.3,0.147,0.8,0.1,0.2,9,5,0.643,0.3,0.5,0.8
58,"Melvin Frazier, Jr.",OKL,12,20.7,6.8,2.3,6.2,0.37799999999999995,1.1,2.9,0.371,0.6,0.8,0.7,0.4,3.0,3.4,1.8,1.1,0.1,1.7,1.6,0.523,0.466,145.0,2.0,13.1,7.8,11.3,20.3,2.4,0.3,16.1,-2.1,1.1,91.6,108.2,-16.7,61.3,8.5,0.09699999999999999,1.1,0.7,0.1,6,6,0.5,-0.2,0.3,0.1
59,Michael Frazier,DEL,12,24.5,12.8,4.9,11.8,0.415,1.4,5.0,0.28300000000000003,1.2,1.4,0.8240000000000001,0.6,2.8,3.3,2.2,0.8,0.4,2.0,1.4,0.512,0.475,152.2,2.3,12.7,7.1,12.8,13.8,1.6,1.6,24.6,-2.2,1.1,95.4,111.2,-15.8,80.4,12.3,0.166,1.1,0.4,0.1,8,4,0.667,-0.3,0.3,0.0
60,Billy Garrett,LAK,13,29.4,11.7,4.1,10.7,0.381,1.0,3.2,0.31,1.5,1.8,0.833,0.4,2.5,2.8,5.3,0.8,0.1,2.2,2.7,0.508,0.428,152.4,1.4,8.3,4.9,26.8,15.8,1.3,0.2,20.4,4.8,1.1,97.6,110.2,-12.6,102.3,10.4,0.24,2.5,0.4,0.2,8,5,0.615,-0.2,0.4,0.2
61,Kaiser Gates,LIN,12,26.8,9.1,3.0,7.3,0.409,2.2,6.1,0.35600000000000004,0.5,0.5,1.0,0.8,4.4,5.2,1.1,1.4,0.7,0.5,1.8,0.601,0.557,176.5,3.1,18.4,10.8,6.0,6.2,2.6,2.4,13.4,0.8,1.2,114.7,111.5,3.2,111.0,14.5,0.109,2.2,2.8,0.1,5,7,0.41700000000000004,0.3,0.3,0.6
62,Romaro Gill,SLC,12,16.4,3.9,1.4,2.8,0.515,0.0,0.0,0.0,0.6,0.9,0.636,0.9,2.2,3.1,0.5,0.3,1.8,0.8,2.6,0.621,0.515,115.2,5.5,14.4,9.7,4.8,20.9,1.0,10.5,10.9,-3.2,1.4,97.2,102.8,-5.6,54.1,11.8,0.055,0.6,0.4,0.3,4,8,0.33299999999999996,-0.1,0.4,0.3
63,Freddie Gillespie,MHU,15,27.8,10.5,4.9,8.5,0.57,0.0,0.2,0.0,0.5,1.3,0.42100000000000004,3.7,6.5,10.3,1.8,1.3,2.3,2.1,3.3,0.579,0.57,99.1,12.7,24.7,18.4,9.7,19.0,2.2,7.4,16.8,-3.3,1.2,108.0,100.1,7.9,207.4,20.2,0.165,0.8,0.6,0.1,6,9,0.4,0.3,1.0,1.2
64,Donte Grantham,ACC,13,25.5,8.6,3.2,8.7,0.37200000000000005,1.3,4.7,0.27899999999999997,0.5,0.6,0.875,1.7,5.4,7.1,2.5,0.7,0.2,1.5,1.6,0.48100000000000004,0.447,152.5,6.9,23.0,14.7,14.7,14.6,1.4,0.8,17.9,0.4,1.0,98.3,108.8,-10.5,112.3,12.3,0.151,1.6,0.5,0.1,4,9,0.308,-0.1,0.4,0.3
65,Marcus Graves,SLC,11,22.6,8.9,3.5,8.8,0.402,1.3,4.0,0.318,0.3,0.4,0.75,0.5,2.6,3.1,3.9,0.7,0.0,1.9,1.9,0.496,0.474,147.0,2.0,13.3,7.3,29.5,17.5,1.7,0.0,21.7,3.2,1.0,96.2,110.9,-14.7,70.0,11.9,0.20800000000000002,2.0,0.4,0.0,4,7,0.364,-0.2,0.3,0.1
66,Josh Gray,FWN,14,28.9,13.0,5.2,13.6,0.382,0.9,2.9,0.317,0.9,1.2,0.765,0.5,3.5,4.0,5.9,1.6,0.2,2.1,2.3,0.45799999999999996,0.41600000000000004,146.4,1.6,12.4,6.8,30.9,13.1,2.6,0.7,23.2,6.0,1.0,96.1,107.7,-11.7,137.1,13.2,0.272,2.7,0.7,0.1,5,9,0.35700000000000004,-0.3,0.6,0.2
67,Jalen Green,IGN,15,32.0,17.9,6.3,13.6,0.461,2.1,5.7,0.365,1.9,2.3,0.8290000000000001,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,0.613,0.537,165.4,1.9,11.6,6.9,13.5,15.4,2.3,0.8,23.2,-2.5,1.3,102.2,111.9,-9.7,166.6,15.4,0.223,1.1,0.6,0.2,8,7,0.5329999999999999,0.0,0.4,0.5
68,Josh Green,SLC,6,29.7,13.5,5.8,12.8,0.455,0.5,2.8,0.17600000000000002,0.7,1.0,0.667,1.2,3.7,4.8,3.5,2.2,0.2,1.5,2.8,0.509,0.474,129.8,3.9,14.0,8.7,20.7,10.2,3.7,0.5,22.8,2.9,1.1,100.1,102.3,-2.2,62.0,17.0,0.253,2.3,1.4,0.1,3,3,0.5,0.0,0.4,0.3
69,Donta Hall,RAP,12,24.8,10.2,4.2,6.7,0.625,0.0,0.1,0.0,1.3,1.8,0.727,2.3,6.0,8.3,1.5,0.6,2.1,0.7,1.8,0.68,0.625,135.2,10.6,25.1,18.1,8.6,8.2,1.1,7.9,13.9,1.3,1.5,134.2,104.8,29.4,166.8,23.0,0.134,2.3,0.9,0.3,9,3,0.75,0.8,0.5,1.3
70,Tyler Hall,WES,14,29.6,10.1,3.3,7.9,0.418,2.8,6.7,0.415,0.4,0.4,1.0,0.9,3.1,4.1,2.6,0.8,0.3,0.9,1.6,0.633,0.595,183.3,3.2,11.6,7.2,11.2,10.4,1.3,0.8,12.9,2.6,1.3,121.5,118.7,2.8,130.1,13.0,0.138,2.8,0.8,0.0,7,7,0.5,0.6,0.0,0.7
71,Rayshaun Hammonds,FWN,12,11.8,6.1,2.7,5.7,0.47100000000000003,0.2,0.8,0.222,0.3,0.4,0.8,2.3,2.5,4.8,0.2,0.5,0.4,0.7,1.5,0.52,0.485,149.3,18.1,21.8,19.8,2.3,10.2,2.0,3.1,22.5,-4.6,1.1,105.7,104.1,1.6,66.6,20.5,0.071,0.3,0.8,0.1,4,8,0.33299999999999996,0.1,0.3,0.3
72,Dusty Hannahs,SCW,13,30.1,11.5,4.2,9.2,0.45799999999999996,1.8,4.7,0.39299999999999996,0.8,0.9,0.917,0.1,2.3,2.4,2.2,0.8,0.2,1.5,1.8,0.595,0.5579999999999999,176.8,0.3,8.0,4.4,11.2,13.8,1.3,0.5,16.6,-0.2,1.2,105.4,112.7,-7.3,87.5,10.7,0.166,1.5,0.5,0.1,9,4,0.6920000000000001,0.1,0.3,0.4
73,Jared Harper,WES,12,33.1,21.3,7.2,15.2,0.473,2.4,6.0,0.40299999999999997,2.9,3.4,0.8540000000000001,0.2,2.8,2.9,6.9,0.8,0.3,2.8,2.5,0.64,0.552,172.9,0.5,8.7,4.5,31.8,14.5,1.2,0.9,25.3,5.3,1.4,115.0,117.0,-1.9,178.9,19.6,0.335,2.4,0.3,0.2,7,5,0.583,0.8,0.1,0.9
74,Jalen Harris,RAP,7,29.4,17.6,6.1,13.3,0.462,2.9,5.7,0.5,1.4,2.1,0.667,1.1,3.0,4.1,2.3,1.1,0.6,1.9,3.0,0.617,0.57,162.9,4.0,10.4,7.2,11.2,11.5,1.9,1.7,22.7,-1.1,1.3,113.5,117.3,-3.9,75.9,17.6,0.192,1.2,0.6,0.2,4,3,0.5710000000000001,0.3,0.1,0.4
75,Reggie Hearn,IGN,13,13.0,3.9,1.4,3.6,0.38299999999999995,0.7,2.2,0.31,0.2,0.3,0.75,0.6,2.0,2.6,0.6,0.2,0.2,0.5,1.1,0.523,0.479,144.3,5.3,16.3,11.0,6.5,11.0,0.9,1.6,14.0,-0.4,1.1,101.4,113.7,-12.3,42.8,9.6,0.05,1.3,0.5,0.1,7,6,0.5379999999999999,0.0,0.1,0.1
76,Dewan Hernandez,RGV,14,14.4,8.5,3.6,5.5,0.649,0.5,0.7,0.7,0.7,0.9,0.769,1.4,2.5,3.9,0.8,0.3,0.4,1.1,1.5,0.7190000000000001,0.695,211.9,10.7,17.6,14.2,8.3,15.3,1.0,2.7,20.4,-3.8,1.5,126.9,111.6,15.3,98.1,23.7,0.1,0.7,0.3,0.2,11,3,0.7859999999999999,0.6,0.2,0.8
77,Ahmed Hill,GBO,11,14.7,4.2,1.5,4.1,0.37799999999999995,1.1,2.8,0.387,0.0,0.3,0.0,0.1,2.0,2.1,1.4,0.4,0.0,0.6,0.9,0.49700000000000005,0.511,76.5,0.6,13.6,6.9,13.1,13.1,1.2,0.0,13.7,1.8,1.0,97.6,116.7,-19.1,35.6,8.0,0.075,2.1,0.6,0.1,4,7,0.364,-0.1,0.1,0.0
78,Nate Hinton,SCW,12,20.6,9.7,3.2,7.6,0.418,1.2,3.5,0.33299999999999996,1.2,1.3,0.9329999999999999,1.6,4.5,6.1,1.3,1.0,0.2,1.1,2.1,0.594,0.495,168.4,9.1,23.3,16.6,9.0,11.8,2.4,0.7,20.2,-1.2,1.3,107.9,106.8,1.1,105.1,16.6,0.11,1.2,0.9,0.2,9,3,0.75,0.2,0.4,0.5
79,Jaylen Hoard,OKL,15,22.0,9.7,3.5,7.1,0.486,0.3,1.7,0.192,1.3,1.7,0.769,1.6,3.2,4.8,2.0,0.7,0.6,1.5,1.4,0.616,0.509,144.8,7.3,13.3,10.4,12.3,16.3,1.5,2.3,17.3,-0.9,1.4,108.4,109.6,-1.2,132.5,15.0,0.126,1.3,0.5,0.2,8,7,0.5329999999999999,0.2,0.4,0.6
80,D.J. Hogg,LAK,15,20.1,8.9,3.3,7.7,0.431,1.9,5.3,0.354,0.2,0.3,0.6,0.7,3.3,3.9,1.5,0.4,0.7,0.7,1.6,0.563,0.552,138.5,3.5,16.1,10.0,11.3,8.5,1.0,3.2,18.8,1.2,1.1,109.5,106.1,3.4,106.9,15.6,0.12300000000000001,2.0,0.5,0.0,9,6,0.6,0.2,0.5,0.7
81,Caleb Homesley,ERI,15,25.0,9.3,3.5,8.5,0.406,1.7,5.0,0.34700000000000003,0.4,0.5,0.75,0.5,3.7,4.2,2.4,1.2,0.7,1.2,2.1,0.528,0.508,150.3,2.4,14.7,8.9,13.0,12.0,2.3,2.3,17.5,1.6,1.1,103.4,107.8,-4.4,119.8,13.3,0.139,2.0,1.0,0.1,11,4,0.733,0.1,0.5,0.6
82,Elijah Hughes,SLC,5,26.4,14.2,4.8,14.2,0.33799999999999997,1.6,7.8,0.205,2.2,2.8,0.7859999999999999,0.6,2.8,3.4,2.6,0.6,0.2,2.0,1.6,0.46,0.39399999999999996,132.9,2.2,11.3,6.6,18.7,11.5,1.1,0.7,30.3,-1.0,1.0,84.6,110.0,-25.3,29.0,9.5,0.218,1.3,0.3,0.2,1,4,0.2,-0.4,0.1,-0.2
83,Jarrett Jack,IGN,15,24.8,8.9,3.5,8.3,0.424,1.0,2.8,0.35700000000000004,0.6,0.7,0.818,0.2,2.8,3.0,4.2,0.9,0.1,2.2,1.7,0.512,0.484,159.9,0.9,11.8,6.6,24.2,20.3,1.8,0.2,18.8,2.4,1.1,96.5,113.3,-16.9,102.1,11.0,0.19,1.9,0.4,0.1,8,7,0.5329999999999999,-0.2,0.3,0.0
84,Justin Jackson,LAK,11,11.5,3.5,1.1,3.6,0.3,0.5,2.0,0.22699999999999998,0.5,0.6,0.857,0.5,1.5,2.0,0.5,0.7,0.4,1.0,0.5,0.45299999999999996,0.363,138.4,4.2,13.0,8.9,6.8,20.3,3.2,2.8,18.9,-5.7,1.0,76.1,99.3,-23.2,28.6,7.3,0.043,0.5,0.7,0.2,8,3,0.727,-0.4,0.3,-0.1
85,Ty Jerome,OKL,9,24.2,12.1,4.1,10.4,0.39399999999999996,1.4,4.9,0.295,1.6,1.7,0.9329999999999999,0.3,2.2,2.6,3.2,1.1,0.3,1.6,1.9,0.542,0.46299999999999997,162.2,1.4,8.1,4.9,17.3,12.2,2.1,1.1,20.8,2.3,1.2,107.9,108.7,-0.8,70.4,13.1,0.163,2.1,0.7,0.2,7,2,0.778,0.2,0.3,0.4
86,Isaiah Joe,DEL,2,34.2,8.5,3.5,14.0,0.25,1.5,8.5,0.17600000000000002,0.0,0.0,0.0,0.0,2.0,2.0,1.5,1.0,0.5,1.5,2.5,0.304,0.304,42.6,0.0,5.7,2.8,6.6,9.7,1.4,1.4,19.2,-1.4,0.6,63.7,100.3,-36.7,-0.5,-0.8,0.135,1.0,0.7,0.0,1,1,0.5,-0.3,0.2,-0.1
87,Alize Johnson,RAP,15,32.0,16.6,6.8,11.9,0.57,0.5,1.6,0.33299999999999996,1.5,1.9,0.759,3.1,10.1,13.3,4.2,1.3,0.3,2.9,2.7,0.649,0.5920000000000001,166.2,10.7,33.1,22.1,18.4,18.7,2.0,1.0,20.7,-0.4,1.4,117.3,108.4,8.9,288.9,22.3,0.24600000000000002,1.4,0.5,0.2,12,3,0.8,0.9,0.6,1.6
88,Amir Johnson,IGN,15,13.3,8.5,3.5,5.1,0.688,0.3,0.4,0.667,0.7,0.9,0.846,1.1,2.2,3.3,0.5,0.3,0.1,0.7,1.6,0.774,0.7140000000000001,220.1,9.0,17.4,13.4,7.0,11.7,1.2,0.5,20.3,-2.8,1.7,130.8,112.8,18.0,97.1,24.5,0.1,0.7,0.5,0.2,8,7,0.5329999999999999,0.6,0.2,0.8
89,B.J. Johnson,LIN,14,31.0,18.4,5.6,13.7,0.41100000000000003,1.9,5.9,0.32899999999999996,3.1,3.6,0.843,0.6,5.0,5.6,1.5,1.0,0.4,2.3,2.3,0.602,0.48200000000000004,158.4,2.1,17.7,9.9,7.9,13.0,1.6,1.1,25.1,-4.2,1.3,96.6,114.6,-18.0,147.4,13.4,0.188,0.7,0.4,0.3,7,7,0.5,-0.3,0.3,-0.1
90,Kaleb Johnson,AUS,13,13.9,5.0,2.0,2.8,0.722,0.0,0.1,0.0,0.5,1.1,0.5,1.2,2.2,3.4,0.5,0.7,0.2,0.2,0.8,0.7709999999999999,0.722,122.2,8.4,17.4,12.8,5.7,4.5,2.5,1.1,10.5,1.5,1.8,144.6,109.7,34.9,80.0,19.4,0.064,3.5,4.5,0.4,8,5,0.615,0.5,0.2,0.7
91,Jemerrio Jones,DEL,12,25.9,6.1,2.9,6.3,0.467,0.1,1.2,0.071,0.2,0.5,0.33299999999999996,3.1,5.1,8.2,2.7,1.3,0.3,1.5,2.5,0.47,0.473,87.1,11.6,22.2,16.5,13.8,18.8,2.3,0.9,12.9,1.0,1.0,106.5,108.2,-1.7,114.3,13.6,0.135,1.8,0.8,0.1,8,4,0.667,0.1,0.4,0.5
92,Tre Jones,AUS,7,31.3,18.1,5.9,13.1,0.446,0.1,1.7,0.083,4.3,5.1,0.833,1.4,3.9,5.3,9.7,1.4,0.0,3.0,2.6,0.589,0.451,136.2,4.6,12.8,8.7,44.2,16.3,2.2,0.0,24.2,10.9,1.4,113.9,110.1,3.8,122.8,21.4,0.365,3.2,0.5,0.4,6,1,0.857,0.4,0.2,0.7
93,Jonathan Kasibabu,AUS,6,16.5,7.3,2.3,4.3,0.5379999999999999,0.7,1.2,0.5710000000000001,1.0,1.5,0.667,1.8,2.0,3.8,1.8,0.0,0.5,1.0,3.3,0.7340000000000001,0.615,177.7,10.6,12.6,11.6,17.4,16.7,0.0,2.6,15.9,1.4,1.7,121.9,112.2,9.7,39.1,16.6,0.111,1.8,0.0,0.3,4,2,0.667,0.2,0.1,0.3
94,Kylor Kelley,AUS,14,11.3,3.6,1.6,2.6,0.595,0.0,0.0,0.0,0.2,0.2,1.0,0.6,1.9,2.5,0.6,0.0,0.5,1.0,1.9,0.652,0.595,159.5,5.8,17.4,11.5,8.1,26.8,0.0,4.1,14.1,-5.1,1.4,97.6,112.8,-15.2,38.6,10.1,0.055,0.6,0.0,0.1,9,5,0.643,-0.1,0.1,0.1
95,Braxton Key,DEL,12,12.2,4.3,1.7,4.3,0.392,0.5,1.8,0.28600000000000003,0.3,0.5,0.667,0.6,1.4,2.0,1.2,0.8,0.8,0.3,1.3,0.485,0.451,134.5,4.8,12.6,8.5,12.9,6.9,2.9,5.9,16.4,3.6,1.0,106.7,102.7,4.1,51.3,15.2,0.068,3.5,2.3,0.1,10,2,0.833,0.1,0.3,0.4
96,Louis King,WES,15,32.2,13.7,5.0,9.6,0.521,1.7,3.8,0.456,1.1,1.4,0.81,1.0,3.9,4.9,3.0,1.5,0.3,1.8,3.5,0.669,0.611,178.6,3.1,13.0,7.9,13.0,15.0,2.3,0.9,16.0,0.6,1.4,116.7,115.3,1.4,167.1,15.7,0.19,1.7,0.9,0.1,7,8,0.467,0.7,0.2,0.9
97,Jonathan Kuminga,IGN,13,32.8,15.8,5.5,14.3,0.387,1.2,5.0,0.24600000000000002,2.3,3.7,0.625,1.2,6.0,7.2,2.7,1.0,0.8,2.6,2.1,0.49700000000000005,0.43,125.8,3.9,19.3,11.8,12.4,14.1,1.5,2.3,24.2,-2.5,1.1,90.0,110.0,-20.0,133.5,11.5,0.20600000000000002,1.0,0.4,0.3,7,6,0.5379999999999999,-0.7,0.5,-0.2
98,Skal Labissiere,WES,9,11.8,5.7,2.0,4.4,0.45,0.1,0.6,0.2,0.9,0.9,1.0,0.9,1.9,2.8,0.2,0.3,0.8,0.6,2.0,0.586,0.46299999999999997,165.0,7.6,17.2,12.3,2.6,10.3,1.3,5.6,19.4,-3.3,1.3,102.6,115.1,-12.5,36.8,14.6,0.051,0.4,0.6,0.2,4,5,0.444,0.0,0.1,0.1
99,Anthony Lamb,RGV,12,21.7,11.2,4.3,8.3,0.515,1.5,3.9,0.38299999999999995,0.6,0.9,0.636,1.9,3.7,5.6,2.1,1.0,0.9,0.9,2.4,0.645,0.606,153.4,9.7,18.0,13.9,13.9,9.6,2.3,3.7,19.2,2.2,1.4,126.3,110.8,15.5,134.1,23.3,0.14800000000000002,2.3,1.1,0.1,8,4,0.667,0.7,0.3,1.0
100,Jalen Lecque,FWN,14,30.3,14.3,5.1,13.1,0.38799999999999996,1.3,4.9,0.261,1.6,2.7,0.605,0.9,2.6,3.6,3.3,1.1,0.3,2.3,2.6,0.501,0.43700000000000006,125.4,2.9,8.9,5.8,16.2,13.8,1.7,0.8,22.4,-0.3,1.1,92.9,110.9,-17.9,104.3,10.2,0.20600000000000002,1.4,0.5,0.2,5,9,0.35700000000000004,-0.5,0.4,-0.1
101,Jeremy Lin,SCW,9,31.2,19.8,6.2,12.3,0.505,2.2,5.2,0.426,3.2,3.7,0.879,0.3,2.9,3.2,6.4,0.9,0.4,3.7,2.0,0.7090000000000001,0.595,180.9,1.3,9.0,5.5,34.7,20.8,1.4,1.2,25.3,2.0,1.6,113.5,114.5,-0.9,132.9,19.6,0.33,1.8,0.2,0.3,5,4,0.556,0.5,0.2,0.7
102,Naz Long,FWN,13,25.9,13.2,4.6,10.5,0.43799999999999994,1.3,3.9,0.33299999999999996,1.8,2.1,0.852,0.5,4.2,4.7,6.1,1.1,0.2,3.1,2.5,0.578,0.5,162.3,1.7,16.5,8.8,35.1,21.2,2.0,0.5,22.9,3.7,1.3,103.1,107.7,-4.6,145.4,16.1,0.26,2.0,0.4,0.2,6,7,0.462,0.1,0.5,0.5
103,Sheldon Mac,CLE,15,28.5,17.9,6.1,12.1,0.505,1.0,3.3,0.3,2.9,3.5,0.8270000000000001,0.6,2.9,3.5,3.6,0.9,0.1,1.2,1.3,0.654,0.547,163.2,2.3,10.8,6.5,21.0,8.1,1.7,0.2,23.4,4.3,1.5,120.0,118.3,1.7,194.8,21.3,0.247,3.0,0.8,0.3,5,10,0.33299999999999996,1.0,0.1,1.1
104,Will Magnay,ERI,10,22.2,9.1,3.4,5.9,0.5760000000000001,0.3,1.0,0.3,1.1,1.9,0.579,1.4,4.0,5.4,1.8,0.5,1.4,1.5,2.3,0.675,0.602,145.5,7.3,18.0,13.0,10.9,18.2,1.1,5.5,16.0,-1.3,1.5,111.8,107.0,4.9,94.1,16.6,0.121,1.2,0.3,0.3,8,2,0.8,0.2,0.3,0.5
