,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
105,Karim Mane,LAK,15,22.3,5.5,2.4,7.1,0.34,0.3,2.7,0.098,0.3,0.7,0.364,1.3,3.9,5.2,2.0,0.8,0.1,2.1,1.7,0.374,0.358,80.1,6.0,17.5,12.0,12.8,22.4,1.8,0.5,18.8,-3.7,0.8,73.7,105.4,-31.8,61.6,4.9,0.113,0.9,0.4,0.1,9,6,0.6,-1.1,0.6,-0.5
106,Nico Mannion,SCW,9,33.1,19.3,6.9,17.0,0.405,3.0,8.2,0.365,1.9,2.4,0.773,0.7,2.8,3.4,6.9,1.8,0.0,3.8,2.7,0.535,0.493,154.3,2.3,8.3,5.5,36.3,17.3,2.6,0.0,29.0,2.5,1.1,101.2,111.9,-10.6,107.8,15.5,0.366,1.8,0.5,0.1,6,3,0.667,0.0,0.3,0.2
107,Naji Marshall,ERI,12,26.9,15.5,5.8,11.9,0.49,1.8,5.3,0.349,1.3,1.9,0.696,0.8,4.6,5.4,1.6,1.3,0.2,2.0,2.2,0.607,0.5660000000000001,153.4,3.4,16.5,10.4,9.2,13.6,2.2,0.5,24.0,-3.5,1.3,103.0,106.7,-3.7,120.4,16.6,0.18,0.8,0.6,0.2,9,3,0.75,0.0,0.5,0.5
108,Jeremiah Martin,LIN,15,31.8,18.5,7.3,15.5,0.474,0.7,3.2,0.22899999999999998,2.1,2.8,0.762,0.6,3.1,3.7,5.1,2.4,0.7,3.3,2.5,0.555,0.498,146.5,2.1,10.5,6.4,29.0,16.4,3.8,2.0,28.0,0.5,1.2,99.3,110.5,-11.2,186.8,18.2,0.32899999999999996,1.6,0.7,0.2,7,8,0.467,-0.2,0.5,0.3
109,K.J. Martin,RGV,10,31.5,17.5,7.0,14.6,0.479,0.5,3.6,0.139,2.0,3.0,0.667,3.2,8.2,11.4,1.8,0.8,1.9,2.4,1.9,0.55,0.49700000000000005,128.5,10.2,25.5,17.9,9.2,13.1,1.2,5.0,24.5,-3.8,1.2,102.4,106.3,-3.9,159.3,20.0,0.218,0.8,0.3,0.2,4,6,0.4,0.0,0.5,0.5
110,C.J. Massinburg,LIN,14,22.9,10.9,3.4,7.1,0.475,1.0,2.1,0.467,1.9,2.0,0.9640000000000001,1.5,3.3,4.8,2.3,0.4,0.1,1.1,0.9,0.6829999999999999,0.545,190.6,7.4,15.7,11.6,15.3,12.6,0.9,0.6,17.7,1.7,1.5,120.9,117.3,3.6,140.3,17.5,0.147,2.0,0.4,0.3,7,7,0.5,0.6,0.1,0.7
111,Anthony Mathis,AUS,15,21.8,13.0,4.0,9.6,0.41700000000000004,2.7,7.2,0.38,1.5,1.6,0.917,0.4,2.9,3.3,1.2,0.2,0.1,1.3,2.7,0.631,0.5589999999999999,171.3,1.8,14.1,7.8,8.3,11.5,0.5,0.3,22.6,-2.5,1.4,108.2,115.2,-7.0,99.0,13.9,0.129,0.9,0.2,0.2,10,5,0.667,0.3,0.2,0.4
112,Charles Matthews,CLE,11,18.2,4.4,1.8,6.0,0.303,0.0,1.9,0.0,0.4,0.5,0.667,0.9,3.5,4.4,1.3,0.8,0.3,1.0,1.1,0.35,0.303,97.0,5.2,19.8,12.5,10.1,13.8,2.2,1.2,17.8,-0.9,0.7,73.4,111.0,-37.6,43.8,6.1,0.081,1.3,0.8,0.1,4,7,0.364,-0.6,0.2,-0.4
113,Selom Mawugbe,SCW,12,19.0,5.3,2.4,2.9,0.8290000000000001,0.0,0.0,0.0,0.3,0.4,0.6,1.1,3.3,4.4,0.8,0.3,2.5,0.8,2.8,0.86,0.8290000000000001,142.9,7.1,17.5,12.9,6.4,19.5,0.9,11.5,9.1,-1.0,1.8,139.0,102.9,36.1,96.9,18.7,0.083,1.1,0.4,0.1,8,4,0.667,0.4,0.4,0.9
114,Tahjere McCall,LAK,15,27.5,11.9,4.2,8.7,0.485,0.7,2.4,0.306,1.5,1.9,0.821,1.7,5.7,7.4,3.3,1.1,0.5,2.3,2.9,0.625,0.527,161.2,6.4,20.7,13.8,18.5,19.3,2.1,1.7,18.8,-0.2,1.4,105.6,102.7,2.9,178.5,16.6,0.193,1.5,0.5,0.2,9,6,0.6,0.2,0.8,1.0
115,Ray McCallum,GBO,15,24.7,9.8,3.7,10.0,0.373,1.1,3.1,0.348,0.7,0.9,0.7859999999999999,0.3,2.7,3.0,5.1,0.8,0.2,1.5,0.7,0.47100000000000003,0.42700000000000005,150.7,1.0,11.1,5.9,31.5,12.3,1.5,0.7,20.1,7.7,1.0,99.0,115.8,-16.9,129.0,12.3,0.228,3.5,0.5,0.1,5,10,0.33299999999999996,-0.1,0.2,0.0
116,K.J. McDaniels,GBO,10,14.3,6.5,2.5,5.2,0.48100000000000004,0.5,1.9,0.263,0.7,0.9,0.778,1.1,3.0,4.1,0.9,0.3,0.6,0.6,1.1,0.581,0.529,152.2,7.2,20.9,13.9,10.2,9.7,1.0,3.6,18.2,0.0,1.3,110.8,110.6,0.2,62.6,17.5,0.08900000000000001,1.5,0.5,0.2,3,7,0.3,0.1,0.2,0.3
117,Sean McDermott,MHU,6,30.8,17.8,6.8,15.5,0.441,2.3,7.3,0.318,1.2,1.3,0.875,2.2,2.3,4.5,1.5,0.5,0.3,0.8,1.3,0.5539999999999999,0.516,163.4,7.0,8.4,7.7,7.3,4.9,0.8,1.0,23.3,0.5,1.2,113.3,117.9,-4.6,62.8,17.1,0.195,1.8,0.6,0.1,3,3,0.5,0.3,0.0,0.3
118,William McDowell-White,RGV,13,16.8,3.1,1.0,2.9,0.342,0.7,2.2,0.31,0.2,0.2,1.0,0.9,2.4,3.3,3.1,0.5,0.3,1.2,0.9,0.509,0.461,165.2,5.7,14.3,10.0,22.5,27.6,1.6,1.5,10.5,5.4,1.1,109.7,111.6,-1.9,75.6,11.4,0.098,2.7,0.5,0.1,8,5,0.615,0.1,0.2,0.3
119,Sam Merrill,MHU,5,28.9,11.2,4.4,12.6,0.349,2.2,6.4,0.344,0.2,1.2,0.16699999999999998,1.0,3.4,4.4,3.4,1.8,0.0,1.0,2.8,0.42700000000000005,0.43700000000000006,86.0,3.1,11.6,7.1,18.5,7.1,2.9,0.0,20.0,4.3,0.9,96.6,104.7,-8.0,38.3,11.6,0.205,3.4,1.8,0.1,2,3,0.4,-0.1,0.3,0.2
120,"Daxter Miles, Jr.",FWN,15,22.0,7.2,2.8,7.9,0.35600000000000004,1.1,4.2,0.254,0.3,0.6,0.444,0.7,1.6,2.3,1.3,0.9,0.4,0.8,2.0,0.44299999999999995,0.424,105.4,3.1,7.4,5.2,8.1,9.0,2.0,1.6,16.6,0.2,0.9,91.6,109.6,-18.0,57.1,8.0,0.1,1.6,1.2,0.1,6,9,0.4,-0.3,0.4,0.1
121,Malcolm Miller,SLC,14,27.2,8.1,2.7,7.1,0.384,1.7,4.6,0.375,0.5,0.6,0.778,0.7,2.6,3.3,0.7,1.1,0.6,1.3,2.6,0.5489999999999999,0.505,153.7,2.6,10.7,6.4,4.1,14.9,2.0,2.0,14.5,-3.1,1.1,93.2,111.3,-18.1,68.9,8.8,0.096,0.6,0.8,0.1,4,10,0.28600000000000003,-0.3,0.4,0.1
122,Trhae Mitchell,RGV,11,8.7,1.3,0.5,1.6,0.33299999999999996,0.2,0.7,0.25,0.0,0.1,0.0,0.4,1.0,1.4,0.7,0.6,0.5,0.3,0.7,0.38,0.389,58.3,4.3,11.8,8.1,10.1,14.0,3.6,5.6,9.5,2.5,0.8,96.1,104.2,-8.1,26.4,11.0,0.03,2.7,2.3,0.1,8,3,0.727,0.0,0.2,0.1
123,Adam Mokoka,AUS,4,22.4,5.8,2.0,6.3,0.32,0.8,3.8,0.2,0.5,0.5,1.0,0.8,3.5,4.3,1.8,1.0,0.5,2.5,2.3,0.444,0.38,152.0,3.3,16.8,9.7,11.7,27.9,2.2,1.9,17.8,-6.2,0.9,70.9,109.2,-38.3,15.5,4.3,0.10300000000000001,0.7,0.4,0.1,2,2,0.5,-0.3,0.1,-0.2
124,Matt Mooney,RAP,15,26.7,11.6,4.1,9.5,0.434,1.9,5.1,0.377,1.1,1.3,0.8420000000000001,0.5,1.5,1.9,5.7,1.7,0.3,2.1,1.5,0.575,0.535,165.2,1.9,5.8,3.9,27.6,17.5,3.0,1.2,19.3,6.1,1.2,114.7,114.9,-0.2,155.1,16.8,0.21899999999999997,2.7,0.8,0.1,12,3,0.8,0.6,0.2,0.8
125,J.J. Moore,WES,8,21.7,10.3,3.6,7.3,0.5,1.5,4.0,0.375,0.8,1.3,0.6,1.3,3.3,4.5,1.1,0.3,0.0,0.8,2.3,0.657,0.603,147.5,5.8,16.3,10.8,7.5,8.8,0.6,0.0,17.2,0.0,1.4,120.2,118.3,1.9,60.3,15.5,0.11599999999999999,1.5,0.3,0.2,4,4,0.5,0.3,0.0,0.3
126,Matt Morgan,RAP,13,22.2,7.4,2.4,5.9,0.40299999999999997,1.3,3.8,0.34,0.7,1.0,0.6920000000000001,0.2,2.1,2.2,3.5,0.7,0.1,1.2,1.7,0.58,0.513,143.5,0.8,9.8,5.4,19.8,16.2,1.5,0.4,14.4,5.0,1.2,111.3,115.7,-4.4,84.6,11.0,0.133,2.9,0.6,0.2,11,2,0.846,0.2,0.1,0.4
127,Jaylen Morris,AUS,6,22.4,13.5,5.5,7.8,0.7020000000000001,2.0,3.0,0.667,0.3,0.5,0.667,0.3,2.3,2.7,0.2,1.0,0.3,1.2,2.5,0.838,0.83,203.5,1.6,10.8,6.3,1.2,12.7,2.2,1.3,17.4,-4.8,1.7,135.3,116.3,19.0,51.6,22.6,0.139,0.1,0.9,0.1,1,5,0.16699999999999998,0.4,0.1,0.4
128,Ade Murkey,IWA,13,21.7,7.1,3.0,6.3,0.47600000000000003,0.8,2.4,0.355,0.2,0.3,0.5,1.0,1.3,2.3,0.9,0.6,0.1,1.0,2.2,0.5489999999999999,0.5429999999999999,133.0,5.0,6.1,5.6,6.5,13.4,1.4,0.3,15.0,-1.8,1.1,101.8,118.2,-16.4,48.3,9.4,0.102,0.9,0.6,0.0,2,11,0.154,0.0,0.0,0.0
129,Jordan Murphy,IWA,14,16.9,4.2,1.6,4.1,0.379,0.1,0.4,0.16699999999999998,0.5,1.4,0.368,1.6,4.1,5.7,1.9,0.6,0.9,0.9,1.9,0.445,0.38799999999999996,91.4,10.2,25.1,17.9,15.7,15.3,1.7,4.7,14.5,2.3,1.0,95.2,106.9,-11.7,94.4,12.8,0.08900000000000001,2.2,0.7,0.3,2,12,0.14300000000000002,-0.1,0.4,0.2
130,Daishen Nix,IGN,15,26.5,8.8,3.2,8.3,0.384,0.4,2.3,0.17600000000000002,1.3,1.9,0.7140000000000001,0.8,4.5,5.3,5.3,1.0,0.2,2.9,1.6,0.48100000000000004,0.408,127.5,3.4,17.9,10.9,27.5,23.8,1.8,0.7,19.5,2.4,1.1,90.4,111.1,-20.6,132.8,10.7,0.209,1.8,0.3,0.2,8,7,0.5329999999999999,-0.6,0.4,-0.2
131,Shawn Occeus,RGV,15,25.7,6.4,2.2,6.3,0.35100000000000003,1.1,4.0,0.28300000000000003,0.5,0.7,0.636,0.9,2.6,3.5,1.7,1.1,0.3,0.7,2.6,0.486,0.441,127.1,3.4,10.0,6.8,8.3,9.2,2.0,1.1,11.9,1.7,1.0,102.4,111.6,-9.1,80.1,8.6,0.09300000000000001,2.5,1.6,0.1,9,6,0.6,0.0,0.4,0.4
132,Elie Okobo,LIN,14,27.2,8.9,3.4,8.9,0.384,1.0,3.3,0.304,0.6,1.1,0.563,0.6,2.8,3.4,5.1,1.2,0.1,2.6,1.7,0.47,0.44,125.1,2.3,11.3,6.8,28.3,21.4,2.2,0.3,19.6,3.0,1.0,91.4,115.7,-24.3,102.5,9.8,0.225,2.0,0.5,0.1,6,8,0.429,-0.5,0.2,-0.3
133,Tariq Owens,LIN,9,16.6,8.6,3.3,4.8,0.698,0.1,0.1,1.0,1.1,1.3,0.833,1.1,1.9,3.0,0.6,0.2,1.4,0.7,2.1,0.797,0.7090000000000001,253.1,7.6,12.7,10.2,5.7,11.1,0.7,8.4,16.3,-1.8,1.8,133.1,114.9,18.2,67.5,22.2,0.102,0.8,0.3,0.3,4,5,0.444,0.4,0.1,0.5
134,"James Palmer, Jr.",ACC,15,32.9,16.1,5.6,14.2,0.39399999999999996,1.1,4.2,0.254,2.4,3.1,0.7829999999999999,1.3,3.5,4.8,2.8,0.5,0.5,1.8,1.7,0.517,0.43200000000000005,143.1,3.9,11.6,7.7,13.5,10.4,0.8,1.5,22.8,0.2,1.1,99.2,114.0,-14.8,140.8,12.3,0.218,1.6,0.3,0.2,5,10,0.33299999999999996,-0.2,0.3,0.2
135,Gary Payton II,RAP,13,21.9,10.8,4.7,8.5,0.555,0.4,2.2,0.179,0.7,1.0,0.6920000000000001,1.4,4.2,5.6,2.6,2.5,0.7,1.6,3.2,0.609,0.5770000000000001,142.5,6.7,20.3,13.6,16.9,15.4,5.6,3.1,20.1,0.6,1.3,114.5,102.6,11.9,146.9,23.4,0.16399999999999998,1.6,1.6,0.1,10,3,0.769,0.4,0.6,1.0
136,Elijah Pemberton,SCW,10,17.6,6.4,2.4,4.5,0.5329999999999999,0.8,1.8,0.444,0.4,0.7,0.5710000000000001,0.8,2.0,2.8,1.0,0.4,0.0,0.4,1.2,0.6659999999999999,0.622,154.9,5.7,11.5,8.9,8.4,7.7,1.1,0.0,13.5,1.6,1.4,125.2,109.0,16.2,54.6,14.1,0.087,2.5,1.0,0.2,8,2,0.8,0.3,0.2,0.5
137,London Perrantes,AUS,14,25.1,6.7,2.6,7.5,0.34299999999999997,1.0,3.4,0.292,0.4,0.4,1.0,0.3,1.6,1.9,5.6,1.4,0.0,1.8,1.7,0.43799999999999994,0.41,163.5,1.2,6.9,4.0,30.3,18.9,2.7,0.0,16.1,8.0,0.9,96.9,113.2,-16.4,95.6,10.1,0.20199999999999999,3.2,0.8,0.0,9,5,0.643,-0.2,0.3,0.1
138,Reggie Perry,LIN,15,28.8,18.1,6.7,12.8,0.521,0.8,2.5,0.324,2.3,2.9,0.773,2.3,6.5,8.9,2.9,0.5,0.6,2.9,2.7,0.643,0.552,161.8,9.0,24.8,17.0,18.3,17.2,0.9,2.0,26.3,-3.5,1.4,105.9,113.1,-7.2,216.5,19.9,0.254,1.0,0.2,0.2,7,8,0.467,0.3,0.3,0.6
139,Dom Pointer,CLE,14,27.6,10.7,4.0,7.5,0.5329999999999999,0.9,2.9,0.317,1.1,1.4,0.8420000000000001,0.6,4.3,4.9,3.4,1.7,1.8,1.6,2.7,0.662,0.595,169.3,2.2,17.0,9.5,17.9,16.3,3.1,5.6,15.7,2.5,1.4,116.9,109.3,7.7,172.1,19.8,0.185,2.1,1.1,0.2,5,9,0.35700000000000004,0.6,0.5,1.0
140,Aleksej Pokusevski,OKL,13,25.2,7.9,3.0,9.6,0.312,1.3,4.8,0.27,0.3,0.5,0.5710000000000001,1.5,5.8,7.3,4.0,0.8,1.1,3.7,1.5,0.402,0.38,115.3,5.8,21.0,13.8,20.0,27.3,1.5,3.6,21.5,-3.9,0.8,78.4,105.6,-27.2,102.1,7.3,0.16,1.1,0.2,0.1,7,6,0.5379999999999999,-1.0,0.5,-0.5
141,Jordan Poole,SCW,11,33.4,22.4,7.2,15.9,0.451,2.4,7.3,0.325,3.5,3.8,0.929,0.7,4.5,5.3,3.6,0.5,0.2,4.5,3.5,0.636,0.526,170.5,2.6,14.1,8.8,18.5,20.2,0.7,0.5,29.0,-6.1,1.4,98.4,111.5,-13.1,123.5,13.6,0.27899999999999997,0.8,0.1,0.2,8,3,0.727,-0.2,0.3,0.1
142,Jontay Porter,MHU,9,16.8,7.4,2.9,8.4,0.342,0.8,4.2,0.184,0.6,1.0,0.556,1.4,3.2,4.7,1.2,1.0,1.2,1.1,1.4,0.419,0.38799999999999996,108.2,8.0,21.5,14.1,11.2,11.1,2.9,6.5,24.9,-1.8,0.9,86.5,101.0,-14.5,55.9,14.0,0.10400000000000001,1.1,0.9,0.1,3,6,0.33299999999999996,-0.3,0.3,0.0
143,"Kevin Porter, Jr.",RGV,15,36.0,24.1,8.6,19.2,0.44799999999999995,2.6,8.1,0.32,2.6,3.3,0.78,1.3,5.2,6.5,7.2,1.5,0.4,4.7,1.5,0.5820000000000001,0.516,154.8,3.6,14.3,9.1,32.0,18.6,2.1,0.9,29.9,0.2,1.3,103.9,110.1,-6.2,258.3,19.1,0.381,1.5,0.3,0.2,9,6,0.6,0.2,0.6,0.8
144,Myles Powell,WES,13,28.1,17.8,6.2,13.9,0.44799999999999995,2.8,6.4,0.446,1.4,1.7,0.818,0.2,3.1,3.3,4.0,1.7,0.2,2.5,2.3,0.606,0.55,171.1,0.8,11.7,6.1,22.3,14.8,2.9,0.7,26.2,0.4,1.3,105.0,112.6,-7.6,149.0,18.1,0.247,1.6,0.7,0.1,6,7,0.462,0.2,0.3,0.5
145,Raphiael Putney,IWA,10,15.3,7.4,2.8,6.0,0.467,0.5,2.3,0.217,0.7,1.0,0.7,1.5,3.7,5.2,0.9,0.6,1.1,1.3,2.3,0.575,0.508,138.4,10.3,24.5,17.6,8.8,16.8,1.9,6.3,21.2,-4.5,1.2,101.5,108.2,-6.7,69.5,17.9,0.09,0.7,0.5,0.2,3,7,0.3,0.0,0.2,0.2
146,Trevelin Queen,RGV,15,20.0,10.0,4.0,8.7,0.45799999999999996,1.3,4.7,0.282,0.4,0.6,0.667,1.0,1.3,2.3,1.2,1.2,0.1,1.1,1.9,0.556,0.534,140.6,5.1,6.6,5.9,9.0,11.2,2.9,0.6,21.4,-1.7,1.1,105.6,111.0,-5.4,85.4,15.2,0.125,1.1,1.1,0.1,9,6,0.6,0.1,0.3,0.4
147,Ivan Rabb,DEL,15,16.2,5.3,2.0,3.6,0.556,0.1,0.4,0.33299999999999996,0.7,0.9,0.769,1.9,3.9,5.7,1.3,0.9,0.6,0.7,2.9,0.67,0.574,165.8,11.4,26.4,18.5,11.0,14.3,2.6,3.5,12.0,1.3,1.5,127.1,102.9,24.2,116.6,18.8,0.08,2.0,1.3,0.2,10,5,0.667,0.5,0.5,0.9
148,Jahmi'us Ramsey,ACC,12,21.0,9.8,3.5,9.8,0.35600000000000004,1.1,4.8,0.22399999999999998,1.0,1.2,0.857,0.5,2.0,2.5,0.9,0.6,0.0,1.3,1.0,0.47100000000000003,0.41100000000000003,143.7,2.4,10.4,6.3,7.2,10.8,1.4,0.0,24.0,-3.1,1.0,87.6,112.7,-25.2,44.3,7.9,0.11900000000000001,0.7,0.5,0.1,3,9,0.25,-0.5,0.2,-0.3
149,Levi Randolph,CLE,15,30.5,12.9,4.5,10.0,0.447,1.9,4.4,0.424,1.3,1.5,0.87,1.0,3.0,4.0,2.6,0.7,0.3,1.5,2.1,0.606,0.54,174.0,3.5,10.6,7.0,12.7,12.6,1.2,0.9,17.9,0.7,1.3,110.5,118.8,-8.4,138.1,13.9,0.179,1.7,0.5,0.2,5,10,0.33299999999999996,0.4,0.0,0.5
150,Josh Reaves,RGV,15,24.0,12.0,4.4,9.2,0.478,1.9,5.0,0.387,0.8,1.1,0.75,1.5,2.8,4.3,2.7,1.1,0.3,1.5,2.0,0.621,0.583,161.5,6.5,11.6,9.1,16.3,13.2,2.2,0.9,19.6,1.3,1.3,118.0,110.8,7.2,148.0,18.7,0.17,1.8,0.7,0.1,9,6,0.6,0.7,0.4,1.0
151,"Paul Reed, Jr.",DEL,15,31.5,22.3,9.6,16.3,0.588,1.6,3.6,0.444,1.0,1.3,0.789,4.6,7.2,11.8,2.3,1.9,1.8,2.6,4.1,0.659,0.637,182.2,14.4,25.3,19.5,13.1,13.3,2.9,5.4,25.8,-3.2,1.4,121.2,101.1,20.1,314.1,30.6,0.285,0.9,0.7,0.1,10,5,0.667,1.4,1.0,2.4
152,Isaiah Reese,SCW,14,22.4,8.3,3.1,7.1,0.44,1.1,3.0,0.381,0.6,0.9,0.6920000000000001,0.3,3.4,3.6,4.5,1.0,0.1,2.1,2.0,0.5489999999999999,0.52,151.3,1.5,15.1,8.9,30.0,22.1,2.2,0.6,19.4,3.9,1.2,103.3,106.0,-2.7,110.4,13.6,0.195,2.1,0.5,0.1,11,3,0.7859999999999999,0.1,0.5,0.6
153,Nate Renfro,AUS,15,24.9,4.4,1.8,4.3,0.42200000000000004,0.2,1.3,0.15,0.3,0.8,0.41700000000000004,1.9,3.3,5.3,3.8,1.4,1.9,1.7,3.3,0.47600000000000003,0.445,98.9,7.8,14.1,10.9,19.9,27.3,2.8,6.8,10.9,3.2,1.0,100.0,105.0,-5.0,135.5,13.7,0.138,2.2,0.8,0.2,10,5,0.667,-0.1,0.6,0.6
154,Cam Reynolds,AUS,14,29.0,16.1,6.0,14.6,0.41200000000000003,2.2,6.6,0.337,1.1,1.3,0.833,1.1,3.4,4.6,1.5,0.6,0.4,1.7,2.0,0.531,0.488,158.2,3.9,12.4,8.1,8.2,10.2,1.0,1.3,24.7,-2.5,1.1,97.8,114.0,-16.3,114.3,12.5,0.18600000000000003,0.9,0.3,0.1,9,5,0.643,-0.2,0.3,0.0
155,Nick Richards,GBO,9,26.3,17.0,5.9,11.3,0.52,0.8,1.6,0.5,2.7,3.3,0.8,3.7,6.7,10.3,0.9,0.4,3.0,2.6,2.6,0.664,0.5539999999999999,182.0,13.1,26.2,19.3,5.7,16.6,0.8,9.6,24.4,-7.3,1.5,107.5,108.2,-0.7,147.8,24.3,0.172,0.3,0.2,0.3,3,6,0.33299999999999996,0.2,0.3,0.5
156,Malachi Richardson,CLE,14,19.9,8.4,2.7,6.7,0.40399999999999997,1.9,4.3,0.45,0.6,1.0,0.5710000000000001,0.4,2.6,2.9,1.2,0.5,0.0,0.9,1.9,0.589,0.5479999999999999,142.6,1.9,13.8,7.9,8.9,10.7,1.3,0.0,18.1,-0.2,1.3,105.2,118.4,-13.1,72.8,11.7,0.099,1.4,0.6,0.1,5,9,0.35700000000000004,0.1,0.0,0.1
